url,status,error,title,description,is_html
http://localhost:3000/sitemap.txt,0,"ConnectionError: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /sitemap.txt (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x72faf2b4dfd0>: Failed to establish a new connection: [Errno 111] Connection refused'))",,,False
http://localhost:3000/sitemap.xml,0,"ConnectionError: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /sitemap.xml (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x72faf2b4d160>: Failed to establish a new connection: [Errno 111] Connection refused'))",,,False
http://localhost:3000/sitemap_index.xml,0,"ConnectionError: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /sitemap_index.xml (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x72faf2b4ce90>: Failed to establish a new connection: [Errno 111] Connection refused'))",,,False
